"Date","Value"
2015-10-05,20550.34
2015-10-06,20474.79
2015-10-07,20654.11
2015-10-08,20833.64
2015-10-09,20852.55
2015-10-12,20869.82
2015-10-13,20717.86
2015-10-14,20605.11
2015-10-15,20921.12
2015-10-16,20999.22
2015-10-19,21009.41
2015-10-20,20984.74
2015-10-21,20840.04
2015-10-22,21163.58
2015-10-23,21388.15
2015-10-26,21344.75
2015-10-27,21264.98
2015-10-28,21547.18
2015-10-29,21516.99
2015-10-30,21420.58
2015-11-02,21663.67
2015-11-03,21722.98
2015-11-04,21652.98
2015-11-05,21631.32
2015-11-06,21626.38
2015-11-09,21411.78
2015-11-10,21446.62
2015-11-11,21368.11
2015-11-12,21059.76
2015-11-13,20834.2
2015-11-16,21124.09
2015-11-17,21089.76
2015-11-18,21423.61
2015-11-19,21400
2015-11-20,21481.19
2015-11-23,21466.51
2015-11-24,21505.14
2015-11-25,21517.31
2015-11-26,NA
2015-11-27,21538.35
2015-11-30,21439.35
2015-12-01,21653.81
2015-12-02,21419.13
2015-12-03,21097.32
2015-12-04,21501.73
2015-12-07,21330.01
2015-12-08,21192.95
2015-12-09,21022.75
2015-12-10,21071.59
2015-12-11,20659.59
2015-12-14,20724.2
2015-12-15,20951.78
2015-12-16,21256.03
2015-12-17,20949.75
2015-12-18,20592.93
2015-12-21,20746.47
2015-12-22,20925.01
2015-12-23,21192.35
2015-12-24,21166.92
2015-12-25,NA
2015-12-28,21115.89
2015-12-29,21333.15
2015-12-30,21175.07
2015-12-31,20979.51
2016-01-01,NA
2016-01-04,20654.54
2016-01-05,20697.27
2016-01-06,20422.27
2016-01-07,19931.34
2016-01-08,19706.8
2016-01-11,19708.7
2016-01-12,19836.45
2016-01-13,19329.05
2016-01-14,19636.62
2016-01-15,19221.58
2016-01-18,NA
2016-01-19,19199.16
2016-01-20,18988.96
2016-01-21,19072.64
2016-01-22,19473.77
2016-01-25,19151.57
2016-01-26,19446.37
2016-01-27,19228.29
2016-01-28,19318.78
2016-01-29,19812.47
2016-02-01,19800.5
2016-02-02,19416.05
2016-02-03,19509.4
2016-02-04,19552.02
2016-02-05,19164.19
2016-02-08,18880.88
2016-02-09,18852.51
2016-02-10,18853.86
2016-02-11,18622.23
2016-02-12,18984.37
2016-02-15,NA
2016-02-16,19312.92
2016-02-17,19630
2016-02-18,19547.21
2016-02-19,19552.29
2016-02-22,19829.85
2016-02-23,19592.91
2016-02-24,19687.48
2016-02-25,19908.96
2016-02-26,19892.29
2016-02-29,19749.65
2016-03-01,20216.9
2016-03-02,20321.16
2016-03-03,20412.78
2016-03-04,20485.75
2016-03-07,20524.38
2016-03-08,20267.18
2016-03-09,20367.2
2016-03-10,20347.67
2016-03-11,20691.2
2016-03-14,20658.65
2016-03-15,20595.97
2016-03-16,20725
2016-03-17,20883.84
2016-03-18,20981.69
2016-03-21,20999.86
2016-03-22,20984.99
2016-03-23,20821.32
2016-03-24,20819.48
2016-03-25,NA
2016-03-28,20833.82
2016-03-29,21050.24
2016-03-30,21132.2
2016-03-31,21107.18
2016-04-01,21229.44
2016-04-04,21147.72
2016-04-05,20936.33
2016-04-06,21155.43
2016-04-07,20902.7
2016-04-08,20968.29
2016-04-11,20911.82
2016-04-12,21113.44
2016-04-13,21348.36
2016-04-14,21346.47
2016-04-15,21339.72
2016-04-18,21472.7
2016-04-19,21541.99
2016-04-20,21559.08
2016-04-21,21441.16
2016-04-22,21468.96
2016-04-25,21427.71
2016-04-26,21485.67
2016-04-27,21523.97
2016-04-28,21326.62
2016-04-29,21220.21
2016-05-02,21389.27
2016-05-03,21182.58
2016-05-04,21060.76
2016-05-05,21043.93
2016-05-06,21122.23
2016-05-09,21140.19
2016-05-10,21399.2
2016-05-11,21192.17
2016-05-12,21179.77
2016-05-13,21004.31
2016-05-16,21211.44
2016-05-17,21001
2016-05-18,21004.82
2016-05-19,20921.93
2016-05-20,21071.81
2016-05-23,21028.52
2016-05-24,21323.98
2016-05-25,21471.3
2016-05-26,21462.31
2016-05-27,21562.26
2016-05-30,NA
2016-05-31,21549.42
2016-06-01,21585.7
2016-06-02,21655.34
2016-06-03,21582.44
2016-06-06,21697.05
2016-06-07,21732.01
2016-06-08,21809.6
2016-06-09,21759.93
2016-06-10,21544.19
2016-06-13,21368.09
2016-06-14,21322.6
2016-06-15,21299.16
2016-06-16,21353.79
2016-06-17,21292.96
2016-06-20,21429.65
2016-06-21,21477.42
2016-06-22,21436.48
2016-06-23,21735.71
2016-06-24,20960.08
2016-06-27,20553
2016-06-28,20917.9
2016-06-29,21280.79
2016-06-30,21577.7
2016-07-01,21626.47
2016-07-04,NA
2016-07-05,21466.39
2016-07-06,21582.35
2016-07-07,21569.51
2016-07-08,21909.15
2016-07-11,21998.96
2016-07-12,22158.41
2016-07-13,22152.22
2016-07-14,22254.6
2016-07-15,22242.64
2016-07-18,22294.2
2016-07-19,22258.41
2016-07-20,22357.83
2016-07-21,22281.45
2016-07-22,22391.7
2016-07-25,22322.73
2016-07-26,22338.25
2016-07-27,22312.79
2016-07-28,22351.65
2016-07-29,22399.56
2016-08-01,22366.94
2016-08-02,22203.62
2016-08-03,22287.15
2016-08-04,22293.93
2016-08-05,22488.47
2016-08-08,22472.84
2016-08-09,22486.58
2016-08-10,22415.37
2016-08-11,22514.45
2016-08-12,22500.62
2016-08-15,22576.77
2016-08-16,22442.19
2016-08-17,22470.09
2016-08-18,22531.67
2016-08-19,22498.13
2016-08-22,22496.75
2016-08-23,22549.9
2016-08-24,22425.97
2016-08-25,22411.51
2016-08-26,22369.57
2016-08-29,22489.09
2016-08-30,22453.01
2016-08-31,22398.83
2016-09-01,22400.6
2016-09-02,22514.7
2016-09-05,NA
2016-09-06,22578.07
2016-09-07,22596.11
2016-09-08,22543.95
2016-09-09,21976.69
2016-09-12,22287.11
2016-09-13,21943.88
2016-09-14,21930.3
2016-09-15,22153.88
2016-09-16,22072.15
2016-09-19,22090.15
2016-09-20,22086.6
2016-09-21,22332.43
2016-09-22,22496.66
2016-09-23,22368.36
2016-09-26,22180.48
2016-09-27,22305.02
2016-09-28,22430.28
2016-09-29,22208.97
2016-09-30,22386.07
2016-10-03,22309.09
2016-10-04,22199.07
2016-10-05,22293.93
2016-10-06,22293.22
2016-10-07,22214.09
2016-10-10,22327.65
2016-10-11,22047.48
2016-10-12,22072.95
2016-10-13,21996.86
2016-10-14,21994.07
2016-10-17,21933.52
2016-10-18,22066.11
2016-10-19,22118.02
2016-10-20,22080.65
2016-10-21,22078.81
2016-10-24,22190.67
2016-10-25,22100.6
2016-10-26,22043.11
2016-10-27,21952.13
2016-10-28,21889.65
2016-10-31,21903.39
2016-11-01,21743.35
2016-11-02,21579.54
2016-11-03,21485.42
2016-11-04,21466.25
2016-11-07,21938.35
2016-11-08,22018
2016-11-09,22309.75
2016-11-10,22367.32
2016-11-11,22393.38
2016-11-14,22444.29
2016-11-15,22603.02
2016-11-16,22569.48
2016-11-17,22679.45
2016-11-18,22641.56
2016-11-21,22804.56
2016-11-22,22885.27
2016-11-23,22913.08
2016-11-24,NA
2016-11-25,23005.7
2016-11-28,22870.94
2016-11-29,22901.43
2016-11-30,22840.77
2016-12-01,22760.77
2016-12-02,22771.4
2016-12-05,22930.38
2016-12-06,23033.5
2016-12-07,23323.42
2016-12-08,23403.56
2016-12-09,23517.2
2016-12-12,23468.74
2016-12-13,23602.37
2016-12-14,23395.38
2016-12-15,23488.16
2016-12-16,23452.7
2016-12-19,23509.53
2016-12-20,23608.15
2016-12-21,23544.7
2016-12-22,23481.77
2016-12-23,23523.62
2016-12-26,NA
2016-12-27,23581.87
2016-12-28,23375.64
2016-12-29,23376.91
2016-12-30,23273.97
2017-01-02,NA
2017-01-03,23465.37
2017-01-04,23639.16
2017-01-05,23598.61
2017-01-06,23659.38
2017-01-09,23565.2
2017-01-10,23587.15
2017-01-11,23651.06
2017-01-12,23586.2
2017-01-13,23646.29
2017-01-16,NA
2017-01-17,23545.56
2017-01-18,23595.65
2017-01-19,23497.89
2017-01-20,23577.63
2017-01-23,23515.83
2017-01-24,23692.65
2017-01-25,23878.88
2017-01-26,23853.73
2017-01-27,23819.36
2017-01-30,23659.95
2017-01-31,23661.88
2017-02-01,23663.71
2017-02-02,23671.15
2017-02-03,23862.18
2017-02-06,23800.71
2017-02-07,23795.9
2017-02-08,23812.4
2017-02-09,23971.02
2017-02-10,24062.47
2017-02-13,24179.55
2017-02-14,24272.1
2017-02-15,24390.46
2017-02-16,24362.49
2017-02-17,24400.55
2017-02-20,NA
2017-02-21,24548.5
2017-02-22,24510.79
2017-02-23,24498.87
2017-02-24,24532.12
2017-02-27,24580.98
2017-02-28,24487.46
2017-03-01,24823.16
2017-03-02,24654.91
2017-03-03,24669.17
2017-03-06,24577.87
2017-03-07,24492.22
2017-03-08,24420.08
2017-03-09,24420.52
2017-03-10,24498.37
2017-03-13,24515.99
2017-03-14,24429.76
2017-03-15,24650.42
2017-03-16,24627.63
2017-03-17,24609.31
2017-03-20,24549.91
2017-03-21,24204.68
2017-03-22,24241.82
2017-03-23,24238.54
2017-03-24,24223.69
2017-03-27,24203.27
2017-03-28,24377.81
2017-03-29,24412.56
2017-03-30,24497.11
2017-03-31,24459.06
2017-04-03,24396.48
2017-04-04,24407.82
2017-04-05,24310.1
2017-04-06,24380.59
2017-04-07,24361.65
2017-04-10,24385.56
2017-04-11,24377.02
2017-04-12,24265.16
2017-04-13,24088.96
2017-04-14,NA
2017-04-17,24304.17
2017-04-18,24245.66
2017-04-19,24217.11
2017-04-20,24406.35
2017-04-21,24336.19
2017-04-24,24599.05
2017-04-25,24755.75
2017-04-26,24756.12
2017-04-27,24765.09
2017-04-28,24689.06
2017-05-01,24745.16
2017-05-02,24753.41
2017-05-03,24700.97
2017-05-04,24700.74
2017-05-05,24816.99
2017-05-08,24801.23
2017-05-09,24776.28
2017-05-10,24814.75
2017-05-11,24743.94
2017-05-12,24696.3
2017-05-15,24821.25
2017-05-16,24804.23
2017-05-17,24338.89
2017-05-18,24428.89
2017-05-19,24596.16
2017-05-22,24725.97
2017-05-23,24773.83
2017-05-24,24835.81
2017-05-25,24930.32
2017-05-26,24935.89
2017-05-29,NA
2017-05-30,24888.76
2017-05-31,24879.18
2017-06-01,25102.25
2017-06-02,25193.06
2017-06-05,25148.08
2017-06-06,25078.47
2017-06-07,25113.5
2017-06-08,25150.3
2017-06-09,25140.77
2017-06-12,25118.04
2017-06-13,25241.06
2017-06-14,25202.72
2017-06-15,25136.63
2017-06-16,25134.26
2017-06-19,25340.77
2017-06-20,25160.08
2017-06-21,25130.03
2017-06-22,25132.85
2017-06-23,25192.54
2017-06-26,25210.69
2017-06-27,25003.35
2017-06-28,25234.21
2017-06-29,25024.5
2017-06-30,25059.71
2017-07-03,25134.66
2017-07-04,NA
2017-07-05,25143.89
2017-07-06,24891.89
2017-07-07,25059.16
2017-07-10,25064.42
2017-07-11,25058.34
2017-07-12,25238.89
2017-07-13,25284.5
2017-07-14,25394.64
2017-07-17,25401.41
2017-07-18,25407.37
2017-07-19,25554.65
2017-07-20,25547.45
2017-07-21,25528.78
2017-07-24,25515.02
2017-07-25,25606.99
2017-07-26,25599.5
2017-07-27,25565.95
2017-07-28,25521.61
2017-07-31,25502.52
2017-08-01,25564.49
2017-08-02,25543.54
2017-08-03,25485.37
2017-08-04,25545.48
2017-08-07,25581.48
2017-08-08,25518.36
2017-08-09,25485.66
2017-08-10,25111.28
2017-08-11,25145.38
2017-08-14,25406.82
2017-08-15,25375.57
2017-08-16,25412.69
2017-08-17,25020.4
2017-08-18,24975.02
2017-08-21,25000.02
2017-08-22,25250.44
2017-08-23,25178.99
2017-08-24,25140.72
2017-08-25,25189.47
2017-08-28,25202.63
2017-08-29,25222.13
2017-08-30,25347.49
2017-08-31,25501.78
2017-09-01,25565.3
2017-09-04,NA
2017-09-05,25361.42
2017-09-06,25432.6
2017-09-07,25415.63
2017-09-08,25377.77
2017-09-11,25653.16
2017-09-12,25745.51
2017-09-13,25768.87
2017-09-14,25743.21
2017-09-15,25794.17
2017-09-18,25847.94
2017-09-19,25875.35
2017-09-20,25905.61
2017-09-21,25833.85
2017-09-22,25857.41
2017-09-25,25810.91
2017-09-26,25821.63
2017-09-27,25958.16
2017-09-28,25992.73
2017-09-29,26082.7
2017-10-02,26205.81
2017-10-03,26267.18
2017-10-04,26285.95
2017-10-05,26424.79
2017-10-06,26393.85
2017-10-09,26341.78
2017-10-10,26404.63
2017-10-11,26445.97
2017-10-12,26402.04
2017-10-13,26418.56
2017-10-16,26461.07
2017-10-17,26466.09
2017-10-18,26492.54
2017-10-19,26493.74
2017-10-20,26629.83
2017-10-23,26510.28
2017-10-24,26554.39
2017-10-25,26424.22
2017-10-26,26466.3
2017-10-27,26678
2017-10-30,26565.45
2017-10-31,26616.43
2017-11-01,26639.02
2017-11-02,26656.61
2017-11-03,26725.73
2017-11-06,26760.62
2017-11-07,26724.15
2017-11-08,26760.91
2017-11-09,26646.42
2017-11-10,26632.5
2017-11-13,26657.67
2017-11-14,26592.69
2017-11-15,26447.66
2017-11-16,26678.48
2017-11-17,26632.25
2017-11-20,26680.53
2017-11-21,26861.03
2017-11-22,26845.68
2017-11-23,NA
2017-11-24,26895.07
2017-11-27,26872.95
2017-11-28,27149.44
2017-11-29,27154.29
2017-11-30,27356.7
2017-12-01,27304.3
2017-12-04,27277.71
2017-12-05,27155.4
2017-12-06,27132.85
2017-12-07,27232.93
2017-12-08,27373.51
2017-12-11,27450.29
2017-12-12,27481.26
2017-12-13,27478.78
2017-12-14,27352.2
2017-12-15,27601.83
2017-12-18,27775.21
2017-12-19,27672.87
2017-12-20,27657.58
2017-12-21,27722.8
2017-12-22,27707.82
2017-12-25,NA
2017-12-26,27686.96
2017-12-27,27706.61
2017-12-28,27765.43
2017-12-29,27615.03
2018-01-01,NA
2018-01-02,27836.64
2018-01-03,27994.37
2018-01-04,28092.15
2018-01-05,28271.34
2018-01-08,28322.78
2018-01-09,28346.89
2018-01-10,28316.57
2018-01-11,28543.78
2018-01-12,28718.94
2018-01-15,NA
2018-01-16,28595.39
2018-01-17,28860.14
2018-01-18,28796.55
2018-01-19,28952.1
2018-01-22,29183.88
2018-01-23,29253.24
2018-01-24,29216.28
2018-01-25,29230.25
2018-01-26,29542.6
2018-01-29,29344.99
2018-01-30,29034.8
2018-01-31,29035.23
2018-02-01,29031.28
2018-02-02,28417.77
2018-02-05,27276.31
2018-02-06,27720.1
2018-02-07,27604.3
2018-02-08,26592.77
2018-02-09,26965.99
2018-02-12,27327.43
2018-02-13,27406.19
2018-02-14,27785.59
2018-02-15,28115.12
2018-02-16,28133.16
2018-02-19,NA
2018-02-20,27962.15
2018-02-21,27825.55
2018-02-22,27840.98
2018-02-23,28273.88
2018-02-26,28584.87
2018-02-27,28216.09
2018-02-28,27906.45
2018-03-01,27572.69
2018-03-02,27740.71
2018-03-05,28040.61
2018-03-06,28136.95
2018-03-07,28150.74
2018-03-08,28256.65
2018-03-09,28731.36
2018-03-12,28710.91
2018-03-13,28527.4
2018-03-14,28369.87
2018-03-15,28328.51
2018-03-16,28401.28
2018-03-19,28014.61
2018-03-20,28051
2018-03-21,28020.68
2018-03-22,27332.4
2018-03-23,26762.7
2018-03-26,27467.86
2018-03-27,26986.89
2018-03-28,26919.27
2018-03-29,27276.86
2018-03-30,NA
2018-04-02,26669.97
2018-04-03,27002.06
2018-04-04,27316.66
2018-04-05,27506.54
2018-04-06,26921.93
2018-04-09,26992.41
2018-04-10,27444.81
2018-04-11,27317.53
2018-04-12,27530.86
2018-04-13,27439.41
2018-04-16,27661.9
2018-04-17,27957.17
2018-04-18,27985.73
2018-04-19,27831.47
2018-04-20,27606.36
2018-04-23,27600.08
2018-04-24,27257
2018-04-25,27290.96
2018-04-26,27556.79
2018-04-27,27575.7
2018-04-30,27355.88
2018-05-01,27430.05
2018-05-02,27264.58
2018-05-03,27200.35
2018-05-04,27550.46
2018-05-07,27660.13
2018-05-08,27669.45
2018-05-09,27924.01
2018-05-10,28160.83
2018-05-11,28204.59
2018-05-14,28212.06
2018-05-15,28041.73
2018-05-16,28166.57
2018-05-17,28157.44
2018-05-18,28092.93
2018-05-21,28300.38
